,tweet
42,iamvictorious> Good idea! I signed up for an interior design cert and could afford to work out more. Plus I have 2 blankets to knit.
43,HectorV90915681> Si. San Marcos blankets
44,day6velvets> sometimes you just gotta revisit your favorite childhood shows and talk to people who understand you.  lmao anyone wanna watch 30 minutes of pingu together? i have snacks and fluffy blankets + 9 pillows
45,sh3vlin> *i purposefully get corona for the warm blankets in the hospital*
46,Chxrmer> BECAUSE the rice blankets the fire and makes it dry
47,gogreg> Repost from  Cardigans are always a good idea. This one features a simple pattern inspired by blankets in our archives.   …
48,Darryl_Walton> Easy. They have scratchy blankets that feel like bugs are crawling on and biting you.  Why do they have these blankets? Cause the blankets were made before microfibers were invented and no fabric softener cause one didnt dare dream of such luxury growing up in the depression.
49,GeorgianPhilos1> 6) americas well documented history of using biological weapons from smallpox blankets against the indigenous peoples of the Americas to anthrax bombs in the naked war of aggression against Korea
50,mo_toews> I can’t imagine indigo being too busy unless people plan on holing themselves up for the immediate future with books and blankets and such
51,RIPRobertMugabe> Smallpox blankets
52,kate_killoran> They should make towels the size of blankets
53,"HexesAndThorns> Her body gave in from under her the moment it collided with the mattress; head leaning against the pillow, she retrieved one of the many baby blankets she and Mary had bought, laying it over her daughter's little sleeping body.  ""Ye're so beautiful, my angel."" She softly —"
54,queenofthetriII> I'm gonna start making handmade chunky throw blankets hmu if you want one
55,MattBeary> All I can remember is the episode of South Park with SARS blankets being given out.
56,RIPRobertMugabe> I want to send him some cozy blankets
57,RonaldBlankets> Forts
58,"RonaldBlankets> ""An abundance of caution"""
59,kayseekerr> I wanna curl up in ball under my blankets and sleep until may 1st of 2021.
60,TheTaylorPerrin> I hope my cousin is up because I really don’t wanna sleep under lame blankets.
61,AllTheBlankets> I’m the best cat photographer
62,"IittIevmin> ""to make amends baby brother. can't you atleast spare ten minutes of you precious time?""   if someone told taehyung that eons later his older brother would be sitting in his living room wrapped in blankets as he dries himself in front of a heater, taehyung would've bawled."
63,TlrWorldWidellc> Nothing like hooking a  brother up with a new cot and blankets to sleep  on I hope  this simple act of  inspires someone else to help a  Jesus take the wheel   pic.twitter.com/UKLTta5ukh
64,JakeemTheDream> Heated blankets >>>>
65,mizubyte> Omg what.  Days I work from home ---- 1. Lots of naps.  2.  Sweats all day.  3. Cuddled in multiple blankets and pillows and puppy on either bed or couch
66,mygrre> kook spends the rest of the night in his own room under several layers of blankets despite the heat radiating off his body. yoongis new “friend” had the most delicious smell that sent his head spinning.  he couldn’t even greet them- within seconds yoongi was back to sucking face.
67,SurfnSunshine> RT  High-powered disinfectant cleanings and new blankets are just some of the precautions airlines ✈️  are taking to protect passengers from     pic.twitter.com/fzi8gbnI2U
68,RealitysABitch_> I have the worst headache && my blankets aren’t even dried yet 
69,wheredabtc> cole world no blankets
70,RonaldBlankets> This was yet another embarrassment. A dangerous embarrassment.
71,muhmuhmercedes> I use google earth for one thing (beside gettin directions to literally every place regardless of how many times I’ve been) and that’s to zoom in on street signs to find out if I gotta unearth myself from 30 blankets and move my car at 7am
72,RocknR0ller> If I get infected I'm gifting blankets to my neighbor Trevor Chadwick.
73,sweetxsukis> mine ain’t that pretty either but he likes to spit on blankets so have fun with that :)
74,RedheadBuxom> I think I need cuddles tonight. Who wants to curl up under the blankets with me?  pic.twitter.com/GpASAkwIQK
75,doopadoe> Reminds me of this scene from South Park where the Native Americans rubbed Chinese people on peace-offering blankets in order to infect South Park with SARS. Trump's handling of this pandemic is just about as absurd as this scene.  pic.twitter.com/84iPTGYC3i
76,Croman810> They better give me my bobbleheads and blankets I bought for the promotional games then!
77,RonaldBlankets> Resign. You're not up for this.
78,baejinyoung_> baby they’re happy tears.. and I’m hiding under my blankets so you can come cuddle me
79,sarahdjarin> i have one younger sister and you better believe that she got the patrick blankets/pillows/plushies while i got the spongebob ones. i dont fuck around 
80,mjohnson0427> Someone thinks she gets all the blankets...             …
81,happiestbunny1> It's always the people who complain about everyone else being overly offended who turn out to be the whiniest bunch of wet blankets around.
82,karimraffa> High-powered disinfectant cleanings and new blankets are just some of the precautions airlines are taking to protect passengers from   pic.twitter.com/kJIP6czJcr 
83,theduckmanz> Yes! I brought back his dirty hospital blankets every day
84,TravelEsquire> High-powered disinfectant cleanings and new blankets are just some of the precautions airlines ✈️  are taking to protect passengers from     pic.twitter.com/LtyR4yg05X
85,Marlarkey_Joe> Did Liz tell you she believed Trump spread the virus to people of color using blankets too?
86,GiveawayCattree> Why Do Cats Suck on Blankets? 5 Reasons -   …
87,Mrs_C_Walker> Cherilyn Walker. Washington Moddle School. Students made and donated blankets to the Long Beach Rescue Mission.   pic.twitter.com/RjtGYYzTRM
88,CrookedFace_> I got a whole row to myself? Give me all the free blankets I'm building a fort.‍♂️
89,baejinyoung_> I’m gonna cry under my blankets..
90,trafficbutter> High-powered disinfectant cleanings and new blankets are just some of the precautions airlines are taking to protect passengers from   pic.twitter.com/iTFWfG3bAu VIA 
91,samijokrueger> I kid you not — I just rolled over on a deer shed that Duke hid underneath the blankets on our bed & it feels as tho there is a hole in my BACK
92,RonaldBlankets> WHO had tests ready
93,RonaldBlankets> Nice try.
94,MAGICALMIRAl> everyone who cant go to miku expo bc of the postponing come gather in a circle we can cry and watch liveshows on youtube together and hug it out. ill bring stuffed animals and blankets
95,Amor_Virtus> Kinda what the native Americans must have thought getting smallpox from those US army blankets.
96,RonaldBlankets> False!
97,CamelliaChanel> Hannah was doodling on her iPad and me and Matt cuddled under the blankets. We were fairly productive while  was back at work.
98,SAYTOK3X>  make a hot toddy! And a spoon of castor oil. Wrap up in blankets. You’ll sweat it right out tonight champ
99,howlpolitically> Europe stay importing diseases. First it was the blankets now it’s the French themselves.   …
100,QuickTake> High-powered disinfectant cleanings and new blankets are just some of the precautions airlines are taking to protect passengers from  pic.twitter.com/l9UIslRfiU
101,3 see you tomorrow.
102,MulhollandLeda> Honey pie stick with me. I sniff out find wine and cocktails a mile a way. Before I found out about California Adventure I would sneak in bottles of wine in Helena’s stroller under blankets.Back in the day they never checked. Disneyland does not sell booze. So I’d bring my own.
103,V0REYIBO> NOOO COME HERE BABY ILL WRAP U UP IN BLANKETS LIKE A BURRITO  pic.twitter.com/rKadbrM6cc
104,RonaldBlankets> I picked a bad time to take a nap.
105,darcyboys> Your remark to Joe about shooting blankets was wrong. I believed you  were better than tat
106,UberFactsEbooks> Airplane blankets are only 2 countries in the entire world population is still illiterate.
107,McBridee11> Important question of the week: Did you know you’re not supposed to remove the tag on your blankets because it’s against the law?
108,chiefhelmsman> poppy quarantined: hehehoho cosplay  me quarantined: i just slet for 12 hours and my fever picked back up so now im under all the blankets i could find but im still really cold and i havent eaten anything in 2 days but if you try to make me eat ill kill you and everytime i brea
109,luigitachi> today: 1) cocooned myself in blankets during zoom lecture 2) took a nap during one of the 10 min breaks 3) udon break with pals ; u; 4) parfait after udon with pals! 5) i feel like i'm finally remembering things for this exam
110,eatsleeplaw_> A blankets fort!
111,heylookitsPONK> maybe i want to live in a nicely decorated house with lots of plants and hanging baskets and knitted blankets and bake very aesthetic looking bread or maybe i want to buy my friend minecraft bedrock so i can stay up till 3am living that life in our minecraft house
112,kelkellzzzz> I’ve spent 300$ on blankets in the last 2 weeks.. someone take my debit card away from me
113,Diminishablekit> Blankets in the yoga studio that get laundered once a week. Taking phones into bathrooms. Shouldn’t have been a thing in the first place.
114,"TheNiflCrew> //Smiles. ""We're just glad he's going somewhere he will be loved and cared for."" //Gestures to the basket. ""For him, of course. You are welcome to take it, or not. We've put some blankets and toys inside."""
115,islandgial95> You can never have too many blankets when the chills hit.
116,"lsedd> The UK is ""more white""? Not from what I've seen, any more than Canada is ""more white"". There's always someone looking for ""racism"" under blankets, carpets, in closets, behind every fencepost, wall and door, if they can't find it, they invent it."
117,RonaldBlankets> He sure is
118,JamesSavigny> You could also talk about blankets and cold patios
119,AdryanKalis> I'm about to get the best sleep tonight  my friend is the best like cologne on blankets? snuggle hoodie?? and A FAVORITE SNACKIE???  no nightmares tonight  I'm snuggled and RELAXED come at me
120,Fclix_skz> A blankets!
121,nicholsevansfan> Hide under the blankets ...
122,Shadow7Moses> Flu season golden apple lime carambola pan solar baruk neck speed to go over .lack ah eye contact tick tick lingam incubator blankets and ganja smoke surround the ark.
123,sannieflower> at this point i just wanna see ateez getting home and under their blankets safely while they still can oh my god 
124,rebrandxcosplay> Last thing tell me why instead of cleaning my room I’m laying in the pile of blankets I’ve thrown on the floor  it’s been a long couple of days ‍♀️
125,GetmoneyRosa> U want some blankets I know you cold   …
126,tayloranne2001> Bella likes to sleep on a freezing cold pilliow.. under the blankets with a chewy toy in her mouth. She always needs to be touching me..  A lot of nights she lays her head on the pilliow I’m on.. anyone else dog just won’t leave them alone pic of Bella because she’s cute  pic.twitter.com/3DqWYyRDyJ
127,darrenelwood> Weighted blankets are now a tax write-off.
128,codytypobot> why aren't there blankets for arms.... oh jackets
129,soullesslyspicy> . . . . . . . . . . . . so you’re saying there’s a chance my blankets could be on the fandom tour dvd?
130,xoxogossipgroom> I bought extra blankets for Denali because I was sure he was going to be a blanket destroyer and because of this I have like 4 blankets just chilling with tags on in my tack room because he has yet to put even a hole or small a tear in any of his blankets
131,Mr_Everythng> Weighted blankets are less likely to have Corona and steal your food. Get a blanket.   …
132,JoannaConn3lly> time to snuggle in blankets  pic.twitter.com/rPqWTXpr8M
133,WolfOpitz> Guys like Rick Santorum are why we have warning labels on electric blankets telling people not to use them in the shower.
134,dmnysus> now why tf do I have a low grade fever all of a sudden  it better be because I was lying under all these blankets or istg...
135,IHeartPaulRudd> Blankets! Candles! Batteries! Ice cream!
136,mbouf> A6: Everything has a place. 95% of the time things get put away in their place immediately. I fluff up the pillows and re-fold couch blankets before I go to bed. Keep almost all surfaces clutter free. Keep knickknacks and decor to tasteful minimum.   …
137,skillfulskeppy> btw one was in my bed but was covered by blankets and the other one was in the cart next to my bed ok gn
138,1quartercandian> NOOO! NOT TOM HANKS!! *burrito wraps them in blankets and bubble wrap*  pic.twitter.com/MHvgYmmEBO
139,__itstayy> Everyone keeps talkin about weighted blankets...are they as good as people say they are ?
140,simplilakes> spartan fest ? staying my healthy black ass indoors watching my healthy netflix while eating my healthy food under my warm healthy blankets
141,baejinyoung_> I’ll be hiding underneath my blankets if anyone needs me
142,SonnaLanae> Might wrap up in some blankets and watch bates motel. It’s been a minute
143,sleepykibebe> We can put comfie blankets and pillows in there and Netflix and everything
144,zaddykingpin> What a very ‘white man’ thing to do. First giving natives small pox blankets now this. What will they come up with next.
145,luvujks> They should give these out instead of the fila blankets    …
146,YopeyCharity> Crocheting the blankets of goodbye    pic.twitter.com/p2jmm31Bji
147,siimplyviibiing> me: *cuddling under the blankets with my best friend in my bed*    me in my head: don’t fall in love with her don’t fall in love with her don’t fall in love with her don’t fall in love with her don’t fa-
148,devin_frizado>                  
149,DMcPhail> Comfort food for dinner since we forgot to plan anything....piggies in blankets with homemade 'blankets' and biscuits with homemade raspberry preserves and butter.  @ E-Spec Books   …
150,UntouchedMaiden> ❝I’ll begin to arrange the pillow fort!❞  Excitedly she would start to set everything up. Pillows and blankets to perfection so they were all warm and cozy for their movie.   …
151,Shardashian_> The twins’ changing table and bassinet are the last two things that need to be put together. All their clothes/blankets are washed.   Now I just wait (in pain and discomfort) 
152,nahhfam2> And I'll make u hot coco and I'll bring blankets and u can put ur head on my thighs while I stroke ur hair
153,bcrbiebxy> “Very much so.”   He pulled the blankets up around them as his hand moved to brush some hair from the guitarist’s face.   “Why not go to bed a while longer?”
154,NylonDragon> My pile of blankets weigh more than I do 
155,AyyyyyyyyG> sick af at the resort rn. it’s god damn 80° n i’m wearing a hoodie n pants w blankets on n i’m still cold. if i die at least ill be wearing chinatown. 
156,Fuzz_39> “Blankets covering the windows” is wild
157,Rainbowwraith> Many suggesting defib machines but what about complete first aid boxes complete with blankets etc for use in road accidents etc &a fire extinguisher
158,EllaIs_TheOne> I cuddle my blankets every night in thought of Ella
159,DutchOvenKits> This is amazing! We’re just getting back onto twitter sorry I didn’t see it sooner!
160,CosmicHoneyBoi1> i wanna pile them under blankets n feed them apple crumble n soup
161,xoxzi> My sheets and blankets smell so good
162,haleighbisson> When will white bitches in scary movies stop looking around? Y’all could still be alive? Go hide under the blankets? Bitch?
163,zrahul2020> For Smallpox Blankets ?
164,LexEtAmor> My daughter's baby blanket is disintegrating after 10 years.  I just bought her a brand new identical one.  These are the best baby blankets ever.  So soft.    
165,hek_shor> If the government starts giving out blankets and food don’t take it! - native nations
166,jeditigger> This just in...  Pup slid off the sofa while sleeping on throw blankets and KEPT SLEEPING.  pic.twitter.com/OG8L27umU8
167,ThatGaySM> There is nothing quite like slipping under freshly washed sheets and blankets
168,DutchOvenKits> Corona Allergies
169,Jayfordaysss> We gonna give these racist yts corona laced blankets like they did the natives. Let’s cleanse these savages   …
170,szorowitz> Smallpox blankets
171,mollyjp13> You're going to learn how to drape blankets and scarves to create different backdrops
172,eldestwrench> I’ll burrow myself under a pile of blankets.
173,JustineMariex3> Getting out of a hot shower into bed with freshly washed sheets and blankets 
174,YeaSkeemz> This nigga really riding round like a child molester wit blankets up on windows and I’m sure he got a mattress in there I just know he do
175,"TeamTakiShot> || En el programa ""It's Dangerous Beyond the Blankets"" logramos ver y descubrir algunas cosas sobre  ❄  Lo recuerdan con su mascarilla facial!!!, se veía muy tierno  El cuidado de su carita lo hace ver aún más joven   pic.twitter.com/Rrv4rlwXds"
176,YouInDiscworld> Puto Blankets. Me ha destrozado.  pic.twitter.com/BOZvsgu8o3
177,PHLTsoccer> Tomorrow is our Red & White scrimmage at our turf field! C vs JV starts at 4:30 followed by V vs JV at 5:15. Parent meeting after. Bring chairs & blankets to watch! 
178,Taylor_Johnson0> Really want to extend a warm and sincere thank you to the person who invented weighted blankets.
179,DutchOvenKits> Fart like nobody can smell it.  
180,merderlern> Who needs weighted blankets when you can just entrap one Hefty Girl and pet her in such a way until she's happily crushing you with her body weight and love  pic.twitter.com/tucQjZwseH
181,YeaSkeemz> Old dude on my job left a young bitch in his van for 20 hours while he worked yesterday..in the job parking lotthe clerks called the police n all cuz this nigga had her in there wit blankets up on the windows nshit 
182,DutchOvenKits> Kinda excited about cheap flights and hotels. NGL
183,9_senses> It's official.  One of a Kind Spring Show 2020.  We are so excited again to be part of this OUTSTANDING show and to showcase our Weighted Blankets!        …
184,owlyowlnow> Well I found the bottle of lavender extract I lost forever ago and guess what it spilled into my box of extra blankets
185,nat_king_cole> heated blankets are a blessing.  pic.twitter.com/Hcnircnlld
186,keepnitupwjae> Just washed all the blankets and clothes
187,lii358> Don’t feel like going anywhere I’m comfy under these blankets
188,MojoSavings> New Post: Cute Newborn Baby Boys Girls Blankets Plush Swaddle Blankets White $16.99 (REG $33.99)   
189,sllance92> Buying discounted blankets 9 months before Christmas.
190,voyten_ryan> Rugs are just floor blankets
191,TRainbowWarrior> Blankets are washed and ready  for home opener... if it goes down.  pic.twitter.com/KlFpaSFfiC
192,"literalrat2> somewhere there's professional footage of me going ""HOLY SHIT"" in gerard way's face as he approaches me with an armful of blankets and for legal reasons I am going to need that footage destroyed"
193,mmml1215> White colonizers purposefully left blankets infected with smallpox for Native Americans to get infected   …
194,nyambean> monie having pink blankets and shirts is so cute hes just a soft baby pupper even tho he’s old old now
195,Vip_Jo19> Fuck it. His blankets and beds and sweaters need a wash. Ima do it. I'm tired. I'm also gonna bathe him while I'm at it. Hes gonna HATE ME.
196,Doyouwantacat1> Do you want a hot pink  Tabby cat that likes to eat blood orange under blankets and needs to sleep for 19 hours a day?
197,"Swedeman13> By design. A week before his ""death"" there was a power outage! The most important prisoner in  and guards fall asleep, the closed circuit televisions fail & Epstein hangs himself with paper blankets from a height of 16 inches. Yep, sure looks like somebody might still be alive."
198,jaehsdimples> STAY SAFE BABY I LOVE U IM OMW WITH SOME BLANKETS N KITHES
199,SkeinDaddyTribs> where can i purchase you two blankets (one for sleep one for fire)
200,ScholarOfMagic> She is a living pile of blankets. Fear her.
201,Nottheantibull1> Do you think the ppl that conquered this land and had no idea of germ theory infected blankets and gave them to Indians in an attempt to kill them?
202,pinescorch> //throws blankets and pillows on the floor  this is the useless people pile.  hop in if you're feeling useless.  //flops
203,lilseabunnies> wanna just snuggle in blankets hmph >:ccc
204,rp_did> Kalani laughed a bit and went to find some Hogwarts themed blankets
205,ErikHanlon> i think im gonna stay late today. bunch of stuff i've.. put off for   lack of a better term. guess its time to break out the coffee pods and blankets again
206,raymondofwath> probably criticism from wet blankets who havent even got kids
207,"nevins_red> He smiled and put them in the cart ""I feel like we're missing something..."" his eyes lit up ""Blankets!"""
208,SplatMarieBot> And over here it's blissful blankets and puffy pillows! SLEEPING!
209,TimeyWimeyGod> Caaaaaaaaasually snuggles under the blankets. Casually. Yep. Totally.
210,threadsbxnny> : —bug spray —extra clothes  —portable charger  —flashlight  —warm blankets  —lots of water —pillows and a tent ofc
211,bluepupboi> Ugh someone I was with on Saturday also has similar symptoms that manifested around the same time so I guess I'm gonna spend the next 3 days burying myself under tea and blankets ‍♂️
212,Amelzing313> I feel like im gonna keep pausing when watching and need hours to finish watching 1 ep. My routine gonna be like  watch -  pause - scream - catch breath - unpause - watch - scream - pause - kick blankets - smash pillows - unpause - watch  aaannddd.. repeat   
213,irenesyves> fuck this im skipping the gym and will lay in my bed under my blankets until the results
214,"theDoukai> Since then, I have not been scared of the Red Mask and I slept without covering myself with the blanket. I would hide inside blankets even during the hot mid-summers because I was so scared of her but after that I would sleep with my windows open even"""
215,kaidanaIenko> he looooves blankets  pic.twitter.com/j5TDAOvKku
216,CathyBe36940837> You for real? In every hospital paracetamol given to reduce temperatures. It’s not the 1950’s when your mother wrapped you in blankets to sweat it out.
217,TheLeftNipple> I literally buy any all fleece blankets when they go on sale   …
218,dkenziet> I am asking the ff community for help. Does anyone know all the blankets available in the series I bought ff2 ffiv cecil cain ff6 terra ff8 squall 9 sepiroth and cloud x tidus xiii lightning is there any other ones?
219,"FemFataleBWidow> As he tucks up in to the covers with her, she snuggled up as close as possible as the little spoon and releases a happy but somewhat tired sigh.   ""Sure is,"" she mumbles before releasing a small yawn. ""A nice warm fire, comfy pillows and blankets, and my favorite guy."""
220,PVMSstugov> DBN Blanket committee finishing blankets for Project Linus which provides blankets to children in need.      …
221,kiIIsatan> my gf is a bat she stays in her dimly lit dorm wrapped in blankets listening to lil peep and is also blind and i love her
222,WhatTheBeck12> Hi! I’ve got some stuff for sale! My worm scarf commissions are open ($25+ship) and I’ve got these two blankets available for $150 each including ship!  pic.twitter.com/CW3Y3C8KrJ
223,yaya_BAiinTHN> Oh and don’t take the blankets or pillows offered bring your own.
224,Nazirs_Land> What about blankets? Blankets don’t have sleeves!!!
225,AwkwardRambler> If this guy doesn't stop stealing my the blankets off my bed....I'll have to run to Walmart to buy another blanket  pic.twitter.com/v5uFmnpZf4
226,shookshawtii> i want you in my blankets
227,sapphkat> Blankets and fuzzy socks.
228,AuroraBloomm> It was SO WARM. I always lay under all the blankets in a lil cave for a min lmfao
229,TheRealWJF4> I am sick and tired of short blankets. If a “blanket” isn’t even 6 feet long then what’s the point? That’s a napkin not a blanket.
230,SpiderBeat> “I don’t even know anymore. I’m just gonna go bury myself under my blankets.”
231,louiedadawg> I honestly believe she is too emotional and gets stressed easily.  She sent me DM saying chihuahua family killed because pictures taken down.  PVAC said fostered and beautiful pics sent in of a CLEAN momma dog and cleaned up pups in nice blankets and pretty collars.
232,ViviParish> Absolutely! And drink lots of coffee/tea. And find cozy chairs with cozy blankets to sit in while we read our books and talk about the art.
233,k_sheetss> How many animals backs did we have to jump on to find out that horses don’t mind it.
234,Fones_1015> Finally finished the giant blocks for the 3 blankets I'm working on. Now to continue with the  to make the rest of the blankets.  pic.twitter.com/TGjhJE3gat
235,BSoekarnsingh> Make a nice cup of tea for yourself and get underneath some warm blankets with some good music in your ears! I know that it might seem that this awful pain won't ever stop...but I promise you that there is light at the end of every tunnel filled with immense darkness
236,bobsVOLSbunker> 4/ so imagine rampant flu.  An unknown variant that doesn’t respond to classic means of prevention.  Or imagine if the Europeans landed on the new continent and gave blankets to the Indians.  What happened?  Yeah...that’s where we are.  So don’t blame the media.  This shit is now
237,CarboniteDream1> dont blame ya wife and i are going to spend the evening under blankets watching movies eating popcorn just an idea . some streaming services have free movies. were doing old godzilla movies. enjoy your evening man.
238,godfatherrules> I hope San Jose left the smallpox blankets back at home. 
239,neo_fhoire> Ppl still think small pox blankets were a thing
240,RustyNa56941001> So you are saying you don’t want these blankets?
241,FeilRiley> Get someone who hugs you the way I hug my blankets when they get out of the dryer
242,fi_torbet> Princess Cookie & the pea  I only have 14 blankets here bring me another 
243,melsuewalk> I really just wanna be like a burrito with my blankets right now
244,anordinarydumb1> GET SOME BLANKETS AND PILLOWS IM CUDDLING WITH THE 2 PRECIOUS BOIS
245,BotAdversary> Farting on blankets and donating them to senior centers
246,chimchaemochii> Anyone up for a hot chocolate night? Blankets and all 
247,philthy87> Things I never saw before I moved to California: people bringing blankets and huge coats into movie theatres. Y’all it ain’t never been that cold in any of the theatres I’ve been in since moving out here. 
248,ashburch> My mom and dad always called blankets “wings” and no one else I know does this.
249,laburpkids> Weighted Lap Blankets   …
250,bgoofy09> A cup of hot tea and some good mind numbing TV with lots of blankets.
251,welback48> I am planning to start “Johnnie’s Blankets” with the freshmen in my school’s new entrepreneurship living learning community.  We will donate a blanket with every blanket purchased. What should we do first to spread our mission to help those in poorly heated homes? 
252,welback48> I am planning to start “Johnnie’s Blankets” with the freshmen in my school’s new entrepreneurship living learning community.  We will donate a blanket with every blanket purchased. What should we do first to spread our mission to help those in poorly heated homes?  
253,Bethany_JJ>  Asakusa even wraps up in blankets the way I do... short person solidarity
254,kolerrrr_> That’s worse than when a couple guests left their infant under a bunch of blankets in a stroller so they could ride THE SWINGS 
255,welback48> I am planning to start “Johnnie’s Blankets” with the freshmen in my school’s new entrepreneurship living learning community.  We will donate a blanket with every blanket purchased. What should we do first to spread our mission to help those in poorly heated homes?
256,trust_theVIBEz> also my hoop was laying on my blankets I had laid out... some of y’all really don’t have respect for ppls belongings
257,Lavish_REI> They need to mind there business  keep making them blankets! They are making money and I am too foh! ‍♀️
258,garweh2011> Let me slid into my blankets ndokubatai mangwana   pic.twitter.com/pIKj2f7fSU
259,"_Headshaker> He watches Lan Zian stand with a faint smile, sinking back into his blankets, tugging them up to his chin.  ""Please be gentle with yourself Lan Zian.  You've been good to me, let me be good to you and tell you to rest tonight."""
260,phoxias> Who needs blankets when you have cats amirite
261,bunmyslut> You wanna sit around and watch XFiles on a satin couch made for 6 and some king-size fuzzy blankets?   Hugs I have those too but it seems easier for me to find someone with an oversized couch at this distance.
262,welback48>  I am planning to start “Johnnie’s Blankets” with the freshmen in my school’s new entrepreneurship living learning community.  We will donate a blanket with every blanket purchased. What should we do first to spread our mission to help those in poorly heated homes?
263,tomstweetss> The side of Pigs in Blankets that you add to it
264,kthbabyy> we got xl blankets tehe
265,AudyTheHedgyVA> I'm certain that half of the things I'm looking on Amazon to buy is stolen artwork that's just slapped onto hoodies and blankets
266,"kaimyy_luv_7> title: ""i can't go to concerts and buy albums, but at least i care that tae and his turtle have a pillow and matching blankets to take a nap"" author: the most talented human being  price: bts ticket concert w soundcheck  pic.twitter.com/cUOLASeL8B"
267,tammygolden> makes sense -- they already stopped giving those little blankets to anyone who isn't in first class.
268,DrPrune> Your forebears bought it with glassbeads and diseased blankets. Jeez.  You run a business? How?
